Datetime, ECGRaw , AvgECG , ampECG , MAX , GSRRaw , Resistance , GSR(kohm) , SCL , GSRRMS , GSRMAV , EMGRaw , EMGRMS , EMGMAV , EMGVAR , EMGSSI , IEMG , AccX , AccY, AccZ , GyroX , GyroY , GyroZ , Aroll , Apitch , Groll , Gpitch, Gyaw , Combroll , Combpitch,Features
12:43.9,405,392,588,784,301,2.4,416.9,1.47,148.6,296,777,115.95,776,13443,133118,6998,0.99,-0.02,0.09,-1.49,1.49,-2.54,-1.59,-83.4,-14.29,-7.53,-5.62,-13.79,-10.56,Standing
12:44.0,377,392,588,784,301,2.4,416.9,1.47,156.22,299,783,125.05,778,15637,0,0,1,-0.02,0.11,-2.08,1.58,0.05,-1.79,-81.96,-14.44,-7.57,-5.54,-13.94,-10.54,Standing
12:44.1,282,390,585,784,302,2.39,418.86,1.48,156.22,299,773,125.05,778,15637,7705,773,1.01,-0.01,0.1,-2.8,1.64,-1.71,-1.31,-82.47,-14.67,-7.6,-5.63,-14.14,-10.6,Standing
12:44.2,415,392,588,784,302,2.39,418.86,1.48,156.22,299,774,125.05,778,15637,16957,1547,0.99,-0.01,0.11,-4.95,0.34,0.55,-1.35,-81.95,-15.11,-7.77,-5.5,-14.56,-10.74,Standing
12:44.3,432,393,589.5,784,302,2.39,418.86,1.48,156.22,299,780,125.05,778,15637,35533,2327,1.01,-0.04,0.1,-4.12,2.05,-0.4,-2.7,-82.5,-15.46,-7.76,-5.46,-14.95,-10.75,Standing
12:44.4,452,395,592.5,784,302,2.39,418.86,1.48,156.22,299,776,125.05,778,15637,47885,3103,1.01,-0.02,0.12,0.15,6.99,-3.62,-1.93,-81.56,-15.39,-7.26,-5.74,-14.85,-10.23,Standing
12:44.5,440,396,594,784,303,2.38,420.83,1.48,156.22,299,781,125.05,778,15637,68022,3884,1,-0.01,0.12,-2.54,-3.17,-1.84,-0.98,-81.59,-15.59,-7.77,-5.85,-15,-10.73,Standing
12:44.6,401,398,597,784,303,2.38,420.83,1.48,156.22,299,778,125.05,778,15637,83482,4662,0.99,-0.02,0.11,-3.02,2.25,-1.82,-1.5,-82.07,-15.84,-7.75,-5.95,-15.26,-10.72,Standing
12:44.7,371,398,597,784,303,2.38,420.83,1.48,156.22,299,776,125.05,778,15637,95834,5438,0.98,-0.02,0.11,-3.21,3.76,-1.23,-1.49,-81.95,-16.1,-7.57,-6,-15.52,-10.54,Standing
12:44.8,450,400,600,784,303,2.38,420.83,1.48,156.22,299,778,125.05,778,15637,111294,6216,0.99,-0.01,0.12,-4.37,-1.14,-0.44,-1.38,-81.64,-16.49,-7.88,-5.96,-15.88,-10.83,Standing
12:44.9,446,400,600,784,304,2.37,422.81,1.49,156.22,299,778,125.05,778,15637,126754,6994,1.01,-0.01,0.12,-3.36,0.77,0.19,-1.27,-81.45,-16.77,-8.01,-5.86,-16.15,-10.94,Standing
12:45.0,443,400,600,784,304,2.37,422.81,1.49,161.72,302,776,117.94,777,13909,0,0,1.02,-0.02,0.12,-1.6,-0.46,0.08,-1.7,-81.73,-16.87,-8.25,-5.78,-16.26,-11.19,Standing
12:45.1,435,401,601.5,784,304,2.37,422.81,1.49,161.72,302,778,117.94,777,13909,15460,778,1.01,-0.02,0.12,-2.63,-0.43,-1.95,-1.63,-81.58,-17.07,-8.49,-5.89,-16.46,-11.42,Standing
12:45.2,408,401,601.5,784,304,2.37,422.81,1.49,161.72,302,774,117.94,777,13909,24712,1552,1,-0.02,0.1,-2.2,2.32,-2.39,-1.45,-82.87,-17.24,-8.46,-6.05,-16.61,-11.44,Standing
